iter	Logloss
0	0.6694710978
1	0.6494351505
2	0.6307253034
3	0.6150933598
4	0.6014952927
5	0.589646843
6	0.5782119237
7	0.5682844526
8	0.5595902861
9	0.5484131374
10	0.5395928286
11	0.5334288779
12	0.5250593464
13	0.5198678435
14	0.5133986312
15	0.5099002538
16	0.5055241103
17	0.5016095022
18	0.4991267772
19	0.4951856806
20	0.4922079879
21	0.4904266529
22	0.4889756963
23	0.4875079809
24	0.4844280629
25	0.4833766209
26	0.4814924604
27	0.4786199505
28	0.4758437082
29	0.4745989167
30	0.4740649448
31	0.4716736869
32	0.4708146513
33	0.468745028
34	0.4683836176
35	0.4678641759
36	0.4668382795
37	0.4658549448
38	0.4654017673
39	0.4646926194
40	0.4635588399
41	0.4633200999
42	0.4617596744
43	0.4599974129
44	0.4591829107
45	0.4577325971
46	0.4569274388
47	0.4558020174
48	0.4548182112
49	0.4544265404
50	0.4535111417
51	0.453369655
52	0.4531955076
53	0.4525694258
54	0.4514607633
55	0.4509480509
56	0.4508780147
57	0.4506526476
58	0.4501449071
59	0.4498405028
60	0.4489671086
61	0.4488349229
62	0.4479330684
63	0.4478166987
64	0.4471994464
65	0.4462919771
66	0.4461272165
67	0.4459386247
68	0.4455708707
69	0.4453113856
70	0.4451873008
71	0.4449454747
72	0.4448426493
73	0.4441610615
74	0.4433915213
75	0.443089303
76	0.4416765363
77	0.4412334314
78	0.441204071
79	0.4409956343
80	0.4404547188
81	0.4403607229
82	0.4397919044
83	0.4391835673
84	0.4390623971
85	0.4389198389
86	0.4381286107
87	0.4377712293
88	0.4376972499
89	0.4376503591
90	0.4375968676
91	0.4370010462
92	0.4369407397
93	0.4366660386
94	0.4366278488
95	0.4362186903
96	0.4356516292
97	0.4354767103
98	0.4354541221
99	0.4351086134
