iter	Passed	Remaining
0	1	106
1	1	72
2	1	59
3	1	47
4	2	40
5	2	38
6	2	37
7	3	34
8	3	33
9	3	33
10	4	33
11	4	32
12	4	32
13	5	31
14	5	31
15	5	29
16	6	29
17	6	28
18	6	27
19	6	27
20	7	26
21	7	25
22	7	25
23	7	24
24	8	24
25	8	23
26	8	23
27	8	23
28	9	23
29	9	22
30	9	21
31	10	21
32	10	21
33	10	21
34	11	20
35	11	20
36	11	19
37	12	19
38	12	19
39	12	18
40	13	18
41	13	18
42	13	18
43	13	17
44	14	17
45	14	17
46	15	16
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	14
56	18	13
57	18	13
58	18	12
59	18	12
60	19	12
61	19	11
62	19	11
63	19	11
64	20	11
65	20	10
66	21	10
67	21	10
68	21	9
69	21	9
70	22	9
71	22	8
72	22	8
73	22	8
74	23	7
75	23	7
76	23	7
77	24	6
78	24	6
79	24	6
80	24	5
81	25	5
82	26	5
83	27	5
84	28	4
85	28	4
86	28	4
87	30	4
88	30	3
89	31	3
90	31	3
91	31	2
92	32	2
93	32	2
94	32	1
95	33	1
96	34	1
97	34	0
98	34	0
99	35	0
